Tmin (C ),Subcooling  (oC),System pressure (MPa),Material ,L/D,_f,_w,_f/_w,Tmin (Mori),Tmin (Adler),Tmin (Dhir),Tmin (Lauer),Tmin (Freud),Tmin (shikha_7),Tmin (shikha_8),Tmin (shikha_9),Tmin (Brenson),Tmin (Henry),Tmin (Perenson),Tmin (Shikha),Tmin (Sakurai),Tmin (Henry_1atm),Tmin (exp_1atm),Tmin (exp2_1atm),Tmin (ANN_1atm)
654.9978414,0,1.005327549,1018 carbon steel,6.68,2631291.027,1.62E+08,0.016242537,240,230,201,328.6,257.6,276,307,256,540.3565157,963.3300572,879.6075574,991.9856055,545.87593,291.5012564,591.3048608,494.4470298,484.3657
599.2330987,0,0.541969035,1018 carbon steel,6.68,2687015.344,1.62E+08,0.016586514,240,230,201,328.6,257.6,276,307,256,361.5605555,628.8075291,693.7172147,711.0296406,506.3198463,211.5421411,365.6401663,553.6119049,498.9789
595.5763943,0,0.54347821,1018 carbon steel,6.68,2686811.533,1.62E+08,0.016585256,240,230,201,328.6,257.6,276,307,256,362.1885737,629.9832948,694.3959985,712.0808195,506.398612,211.8149449,367.4890686,564.0890182,535.8568
590.5132651,0,0.54347821,1018 carbon steel,6.68,2686811.533,1.62E+08,0.016585256,240,230,201,328.6,257.6,276,307,256,362.1885737,629.9832948,694.3959985,712.0808195,506.398612,211.936205,364.4075647,567.1705221,552.4796
589.1068403,0,0.544987384,1018 carbon steel,6.68,2686607.887,1.62E+08,0.016583999,240,230,201,328.6,257.6,276,307,256,362.8161871,631.1721386,695.0740265,713.1307049,506.4776134,211.936205,332.359924,592.4388542,578.1692
585.7314208,0,0.541969035,1018 carbon steel,6.68,2687015.344,1.62E+08,0.016586514,240,230,201,328.6,257.6,276,307,256,361.5605555,627.1750474,693.7172147,711.0296406,506.3198463,213.2706283,381.0476858,610.9278777,580.52673
585.4501358,0,0.499712147,1018 carbon steel,6.68,2692789.016,1.62E+08,0.016622154,240,230,201,328.6,257.6,276,307,256,343.8050658,586.909041,674.3834395,681.0442176,504.2073094,212.8762597,384.1291898,609.0789753,624.33655
569.6981783,0,0.499712147,1018 carbon steel,6.68,2692789.016,1.62E+08,0.016622154,240,230,201,328.6,257.6,276,307,256,343.8050658,595.1240671,674.3834395,681.0442176,504.2073094,213.0279293,384.1291898,406.42,428.943
563.7911942,0,0.505748845,1018 carbon steel,6.68,2691956.282,1.62E+08,0.016617014,240,230,201,328.6,257.6,276,307,256,346.3624832,599.9644157,677.1864012,685.3960295,504.4983873,214.9097329,443.9103657,355.42,379.15918
562.3847694,0,0.505748845,1018 carbon steel,6.68,2691956.282,1.62E+08,0.016617014,240,230,201,328.6,257.6,276,307,256,346.3624832,599.9644157,677.1864012,685.3960295,504.4983873,218.3142378,443.9103657,297.43,315.67438
564.0724791,0,0.549514908,1018 carbon steel,6.68,2685997.935,1.62E+08,0.016580234,240,230,201,328.6,257.6,276,307,256,364.6966177,634.7333767,697.1036265,716.2726687,506.716039,221.3289897,473.4928032,296.11,278.87213
555.9152154,0,0.505748845,1018 carbon steel,6.68,2691956.282,1.62E+08,0.016617014,240,230,201,328.6,257.6,276,307,256,346.3624832,599.9644157,677.1864012,685.3960295,504.4983873,219.8666627,494.4470298,410.48,428.943
