ID,P0,P1,P2,P3,P4,P5,P6,v1,v2,v3
222,25,0.2,0.14,5,0.9,26,28,8133.75,7,2581.47
223,25,0.2,0.14,5,0.9,26,13,7261.42,100,2324.88
224,25,0.2,0.14,5,0.9,26,18,7263.44,98,2325.48
225,24,0.1,0.05,14,0.7,27,28,10081.83,164.5,3849.98
226,24,0.1,0.05,14,0.7,27,23,9826.65,256,3771.73
227,24,0.1,0.05,14,0.7,27,18,9778.85,272.5,3755.73
228,24,0.1,0.05,14,0.7,27,13,9777.85,273,3755.41
229,26,0.2,0.14,14,0.7,28,28,7662.32,0,2994.19
230,24,0.15,0.05,11,0.6,27,13,9928.92,318.5,3575.55
231,26,0.2,0.14,14,0.7,28,23,7405.95,6.5,2917.7
232,26,0.2,0.14,14,0.7,28,18,7318.23,11.5,2892.18
233,26,0.2,0.14,14,0.7,28,13,7317.04,11.5,2891.83
234,24,0.15,0.11,11,0.9,28,28,8911.27,166,3283.97
235,24,0.15,0.05,11,0.6,27,28,10082.2,211.5,3623.84
236,24,0.15,0.05,11,0.6,27,23,9909.89,291.5,3571.65
237,24,0.15,0.05,11,0.6,27,18,9929.66,318.5,3575.78
238,24,0.15,0.11,11,0.9,28,18,8016.61,305,3011.14
239,23,0.1,0.05,5,0.9,26,28,10741.35,442,3538.36
240,24,0.15,0.11,11,0.9,28,23,8363.89,313.5,3118.8
241,24,0.15,0.11,11,0.9,28,13,8014.36,306,3010.42
242,26,0.1,0.11,8,0.9,25,28,7144.1,0,2532.71
243,23,0.1,0.05,5,0.9,26,13,9921.87,570.5,3283.4
244,26,0.1,0.11,8,0.9,25,23,6717.35,37,2411.68
245,23,0.1,0.05,5,0.9,26,23,10232.63,552.5,3376.58
246,23,0.1,0.05,5,0.9,26,18,9923.81,570.5,3284.01
247,26,0.1,0.11,8,0.9,25,18,6321.93,47,2295.37
248,26,0.1,0.11,8,0.9,25,13,6320.1,47,2294.85
249,24,0.2,0.11,8,0.8,28,28,9023.42,215,3075.16
250,23,0.1,0.05,14,0.8,26,13,10515.42,495,4044
251,24,0.2,0.11,8,0.8,28,23,8657.13,350,2960.88
252,24,0.2,0.11,8,0.8,28,18,8463.56,358.5,2904.39
253,24,0.2,0.11,8,0.8,28,13,8461.93,360,2903.89
254,23,0.1,0.05,14,0.8,26,28,11064.41,405.5,4217.56
255,23,0.15,0.05,2,0.8,26,23,10356.77,587.5,3191.03
256,23,0.15,0.05,2,0.8,26,28,10712.1,496,3301.67
257,23,0.15,0.05,2,0.8,26,13,10185.49,610,3140.4
258,23,0.1,0.05,14,0.8,26,18,10516.95,495,4044.51
259,26,0.15,0.11,5,0.8,25,28,7257.53,11,2336.08
260,23,0.15,0.05,2,0.8,26,18,10186.93,610,3140.85
261,23,0.1,0.05,14,0.8,26,23,10689.27,477,4096.2
262,26,0.15,0.11,5,0.8,25,18,6737.28,70,2187.23
263,26,0.15,0.11,5,0.8,25,23,6929.64,63,2241.24
264,26,0.15,0.11,5,0.8,25,13,6735.99,70,2186.86
265,23,0.15,0.05,11,0.7,26,13,10708.96,531.5,3874.2
266,23,0.15,0.05,11,0.7,26,18,10710.07,531.5,3874.56
267,23,0.15,0.05,11,0.7,26,23,10755.08,508,3890.71
268,23,0.15,0.05,11,0.7,26,28,11016.48,447,3973.18
269,26,0.2,0.11,2,0.7,25,23,7169.58,90.5,2084.16
270,26,0.2,0.11,2,0.7,25,28,7393.09,47,2147.85
271,26,0.2,0.11,2,0.7,25,13,7094.09,107.5,2063.29
272,26,0.2,0.11,2,0.7,25,18,7094.99,107.5,2063.55
273,26,0.15,0.11,14,0.7,25,13,7210.71,17.5,2896.43
274,26,0.15,0.11,14,0.7,25,28,7543.2,0,2994.58
275,23,0.2,0.05,8,0.6,26,23,10954.6,545.5,3712.26
276,23,0.2,0.05,8,0.6,26,18,10977.35,568,3716.8
277,23,0.2,0.05,8,0.6,26,13,10976.54,568,3716.54
278,26,0.15,0.11,14,0.7,25,18,7211.75,17.5,2896.74
279,26,0.15,0.11,14,0.7,25,23,7291.56,11.5,2920.06
280,24,0.15,0.08,14,0.7,28,13,8943.26,303,3477.36
281,23,0.2,0.05,8,0.6,26,28,11128.54,493.5,3766.43
282,22,0.1,0.05,11,0.9,28,28,11938.18,580.5,4391.23
283,24,0.15,0.08,14,0.7,28,18,8944.45,303,3477.74
284,22,0.1,0.05,11,0.9,28,23,11391.37,663.5,4204.74
285,24,0.15,0.08,14,0.7,28,23,9014.87,286.5,3500.27
286,25,0.2,0.14,14,0.8,27,28,8414.01,0,3244.55
287,24,0.15,0.08,14,0.7,28,28,9278.04,194.5,3582.59
288,22,0.1,0.05,11,0.9,28,18,11079.32,680.5,4109.69
289,25,0.2,0.14,14,0.8,27,23,8037.65,37,3128.22
290,25,0.2,0.14,14,0.8,27,18,7836.68,37.5,3070.86
291,22,0.1,0.05,11,0.9,28,13,11077.13,680.5,4108.92
292,22,0.15,0.05,8,0.8,28,13,11351.89,706.5,3961.12
293,26,0.1,0.05,2,0.6,26,23,7748.7,111,2320.77
294,26,0.1,0.05,2,0.6,26,28,7900.87,83.5,2363.25
295,25,0.15,0.08,8,0.7,25,13,8034.53,97,2781.03
296,26,0.1,0.05,2,0.6,26,13,7775.8,125.5,2328.93
297,26,0.05,0.08,8,0.8,28,23,6841.78,49.5,2471.16
298,26,0.05,0.08,8,0.8,28,28,7156.08,10,2559.69
299,26,0.1,0.05,2,0.6,26,18,7776.34,126,2329.08
300,26,0.05,0.08,8,0.8,28,13,6628.01,58,2409.51
301,26,0.05,0.08,8,0.8,28,18,6629.26,58,2409.86
302,24,0.2,0.08,11,0.6,28,13,9244.23,344.5,3327.55
303,24,0.2,0.08,11,0.6,28,18,9245.11,344.5,3327.82
304,24,0.2,0.08,11,0.6,28,23,9239.74,321,3328.41
305,25,0.15,0.08,8,0.7,25,28,8342.04,42.5,2872.02
306,22,0.15,0.05,8,0.8,28,28,11907.95,620,4142.05
307,24,0.2,0.08,11,0.6,28,28,9422.3,241,3384.25
308,22,0.15,0.05,8,0.8,28,23,11524.92,683,4014.62
309,25,0.15,0.08,8,0.7,25,18,8035.53,96.5,2781.32
310,25,0.15,0.08,8,0.7,25,23,8100.67,83,2800.5
311,22,0.15,0.05,8,0.8,28,18,11353.52,706.5,3961.69
312,25,0.2,0.08,5,0.6,25,18,8340.45,143,2638.85
313,22,0.2,0.05,5,0.7,28,18,11595.1,737,3801.54
314,22,0.2,0.05,5,0.7,28,13,11593.89,737,3801.13
315,25,0.2,0.08,5,0.6,25,13,8339.71,143,2638.63
316,26,0.1,0.08,5,0.7,28,28,7172.56,38.5,2345.67
317,26,0.1,0.08,5,0.7,28,23,6942.47,73.5,2280.28
318,26,0.1,0.08,5,0.7,28,18,6878.13,84.5,2262.29
319,26,0.1,0.08,5,0.7,28,13,6877.24,84.5,2262.04
320,25,0.2,0.08,5,0.6,25,28,8495.59,73.5,2684.43
321,22,0.2,0.05,5,0.7,28,28,11896.85,660.5,3901.93
322,22,0.2,0.05,5,0.7,28,23,11643.25,712.5,3818.62
323,25,0.2,0.08,5,0.6,25,23,8328.91,117,2635.91
324,26,0.15,0.14,8,0.9,26,18,6421.89,39.5,2288.04
325,26,0.15,0.14,8,0.9,26,23,6797.97,31.5,2402.69
326,26,0.15,0.14,8,0.9,26,13,6419.99,39.5,2287.5
327,26,0.15,0.08,2,0.6,28,28,7311.16,69.5,2160.04
328,26,0.15,0.08,2,0.6,28,23,7153.11,104.5,2115.75
329,26,0.15,0.08,2,0.6,28,18,7167.26,121.5,2120.04
330,26,0.15,0.08,2,0.6,28,13,7166.63,122,2119.87
331,24,0.1,0.08,11,0.9,26,13,8201.59,303,3105.88
332,24,0.1,0.08,11,0.9,26,23,8570.14,305,3215.43
333,24,0.1,0.08,11,0.9,26,18,8203.71,302,3106.55
334,24,0.1,0.08,11,0.9,26,28,9069.36,150.5,3369.4
335,25,0.15,0.11,11,0.8,28,28,8117.07,6,3001.65
336,26,0.2,0.14,5,0.8,26,28,7376.4,5.5,2334.3
337,26,0.2,0.14,5,0.8,26,23,7044.74,56.5,2237.83
338,26,0.2,0.14,5,0.8,26,18,6841.51,60.5,2181.14
339,26,0.2,0.14,5,0.8,26,13,6840.19,60.5,2180.76
340,24,0.15,0.08,8,0.8,26,18,8595.15,350.5,2988.48
341,23,0.2,0.11,14,0.9,25,13,9316.61,487,3604.52
342,24,0.15,0.08,8,0.8,26,13,8593.63,352,2988.01
343,24,0.15,0.08,8,0.8,26,28,9133.99,206.5,3152.28
344,24,0.15,0.08,8,0.8,26,23,8776.38,337,3041.62
345,23,0.2,0.11,14,0.9,25,28,10241.04,369.5,3897.99
346,23,0.2,0.11,14,0.9,25,18,9319.16,486.5,3605.38
347,25,0.1,0.11,14,0.9,28,28,8022.31,0,3210.88
348,25,0.1,0.11,14,0.9,28,23,7543.75,34.5,3065.35
349,23,0.2,0.11,14,0.9,25,23,9681.28,482.5,3710.37
350,25,0.1,0.11,14,0.9,28,18,7156.17,36,2952.58
351,25,0.1,0.11,14,0.9,28,13,7154.03,36,2951.92
352,24,0.2,0.08,5,0.7,26,13,8971.21,407.5,2863
353,24,0.2,0.08,5,0.7,26,28,9282.06,264,2957.18
354,24,0.2,0.08,5,0.7,26,18,8972.32,407,2863.34
355,24,0.2,0.08,5,0.7,26,23,9037.74,384,2882.97
356,22,0.15,0.05,2,0.9,26,18,10956.81,739.5,3447.98
357,22,0.15,0.05,2,0.9,26,13,10954.72,739.5,3447.28
358,22,0.15,0.05,2,0.9,26,28,11785.99,635,3716.44
359,22,0.15,0.05,2,0.9,26,23,11255.56,722,3540.99
360,25,0.15,0.11,11,0.8,28,23,7755.02,54,2891.73
361,25,0.15,0.11,11,0.8,28,18,7563.12,58,2836.74
362,25,0.15,0.11,11,0.8,28,13,7561.59,57.5,2836.28
363,23,0.15,0.08,5,0.9,28,28,9807.22,439.5,3226.64
364,25,0.2,0.11,8,0.7,28,13,7915.13,93,2706.3
365,23,0.15,0.08,5,0.9,28,18,8931.55,579,2953.43
366,25,0.2,0.11,8,0.7,28,18,7916.22,92,2706.63
367,23,0.15,0.08,5,0.9,28,23,9288.49,567.5,3059.15
368,25,0.2,0.11,8,0.7,28,23,7994.1,86,2729.39
369,25,0.2,0.11,8,0.7,28,28,8241.4,31,2803.23
370,23,0.15,0.08,5,0.9,28,13,8929.33,580.5,2952.71
371,25,0.05,0.08,14,0.9,25,28,8303.84,3,3314.62
372,25,0.05,0.08,14,0.9,25,18,7445.36,45,3061.06
373,23,0.2,0.08,2,0.8,28,28,9956.78,501.5,3025.51
374,25,0.05,0.08,14,0.9,25,23,7845.81,37,3174.54
375,23,0.2,0.08,2,0.8,28,23,9599.49,605.5,2912.28
376,23,0.2,0.08,2,0.8,28,18,9418.89,626.5,2858.17
377,23,0.2,0.08,2,0.8,28,13,9417.27,627.5,2857.65
378,25,0.05,0.08,14,0.9,25,13,7443.36,45,3060.45
379,26,0.05,0.05,5,0.7,26,13,7659.17,96.5,2507.04
380,23,0.05,0.05,14,0.9,28,23,10413.95,474,4042.93
381,23,0.05,0.05,14,0.9,28,18,10093.1,488.5,3948.69
382,26,0.05,0.05,5,0.7,26,23,7703.55,85,2519.56
383,23,0.05,0.05,14,0.9,28,13,10091.07,488.5,3948.01
384,26,0.05,0.05,5,0.7,26,18,7659.92,96.5,2507.25
385,23,0.05,0.05,14,0.9,28,28,10939.88,382.5,4215.15
386,25,0.1,0.08,11,0.8,25,23,7874.05,59,2964.91
387,26,0.05,0.05,5,0.7,26,28,7929.13,54.5,2582.92
388,25,0.1,0.08,11,0.8,25,28,8227.66,14,3071.25
389,25,0.1,0.08,11,0.8,25,13,7693.28,64,2912.81
390,25,0.1,0.08,11,0.8,25,18,7694.72,63.5,2913.24
391,24,0.1,0.05,5,0.8,25,23,9432.15,330.5,3076.95
392,24,0.1,0.05,5,0.8,25,28,9776.7,200,3181.03
393,24,0.1,0.05,5,0.8,25,13,9259.99,351,3027.3
394,24,0.1,0.05,5,0.8,25,18,9261.39,350.5,3027.72
395,26,0.1,0.11,14,0.8,27,13,6741.04,15,2797.39
