Tmin (C ),Subcooling  (oC),System pressure (MPa),Material ,L/D,_f,_w,_f/_w,Tmin (Mori),Tmin (Adler),Tmin (Dhir),Tmin (Lauer),Tmin (Freud),Tmin (shikha_7),Tmin (shikha_8),Tmin (shikha_9),Tmin (Brenson),Tmin (Henry),Tmin (Perenson),Tmin (Shikha),Tmin (Sakurai),Tmin (Henry_1atm),Tmin (exp_1atm),Tmin (exp2_1atm),Tmin (ANN_1atm)
268.6813,0,0.798371,Platnium ,25,2654618.282,186163692,0.014259592,240,230,201,328.6,257.6,276,307,256,463.4406985,1023.812431,1437.116362,1183.247603,523.7284604,229.9685013,367.6616328,381.0476858,393.0141
258.1734,0,0.664031,Platnium ,25,2671051.471,186163692,0.014347865,240,230,201,328.6,257.6,276,307,256,411.1664707,906.7087405,1378.74897,1078.004114,513.5154309,231.6262786,405.8229773,384.1291898,386.72296
246.7898,0,0.579033,Platnium ,25,2682057.325,186163692,0.014406984,240,230,201,328.6,257.6,276,307,256,376.8704407,828.3573671,1338.563471,1005.994984,508.3240118,240.4249688,482.1456662,384.1291898,389.1501
238.0333,0,0.476051,Platnium ,25,2696078.311,186163692,0.014482299,240,230,201,328.6,257.6,276,307,256,333.7096004,727.9324601,1284.533995,911.0964098,503.0993749,244.9902171,491.9078706,443.9103657,418.33994
233.655,0,0.404381,Platnium ,25,2706279.936,186163692,0.014537099,240,230,201,328.6,257.6,276,307,256,302.3568099,653.5614057,1241.444935,838.3413568,500.0433807,257.2445999,560.2433013,443.9103657,465.36765
233.655,0,0.283304,Platnium ,25,2724097.26,186163692,0.014632806,240,230,201,328.6,257.6,276,307,256,245.9281172,516.7487632,1148.06447,695.7707318,495.7709004,270.0524348,600.1795921,473.4928032,499.82492
224.0228,0,0.189307,Platnium ,25,2737350.303,186163692,0.014703997,240,230,201,328.6,257.6,276,307,256,197.3681418,395.885553,1030.067837,553.7286763,493.0926688,291.5012564,591.3048608,494.4470298,483.95685
223.1471,0,0.108605,Platnium ,25,2744277.894,186163692,0.014741209,240,230,201,328.6,257.6,276,307,256,149.0598622,275.4751685,804.9178387,376.4701304,491.15918,211.5421411,365.6401663,553.6119049,501.0782
213.5149,0,0.032545,Platnium ,25,2717108.182,186163692,0.014595264,240,230,201,328.6,257.6,276,307,256,86.23792353,130.3846173,-397.5870335,-20.12923759,489.5990456,211.8149449,367.4890686,564.0890182,548.90533
218.9985,0,0.100877,Platnium ,25,2744245.481,186163692,0.014741035,240,230,201,328.6,257.6,276,307,256,143.851461,262.6721793,765.8965836,353.5946458,490.9897282,211.936205,364.4075647,567.1705221,573.53845
222.9489,0,0.192982,Platnium ,25,2736879.045,186163692,0.014701465,240,230,201,328.6,257.6,276,307,256,199.3841364,400.9735477,1036.278341,560.1591074,493.188285,211.936205,332.359924,592.4388542,613.00146
231.2437,0,0.298246,Platnium ,25,2721887.496,186163692,0.014620936,240,230,201,328.6,257.6,276,307,256,253.1918492,534.5435424,1161.824821,715.195789,496.2444556,213.2706283,381.0476858,610.9278777,616.2987
231.8455,0,0.407895,Platnium ,25,2705771.865,186163692,0.014534369,240,230,201,328.6,257.6,276,307,256,303.9240065,657.4546946,1243.704769,842.0693496,500.1833232,212.8762597,384.1291898,609.0789753,662.0303
237.2816,0,0.5,Platnium ,25,2692749.248,186163692,0.014464417,240,230,201,328.6,257.6,276,307,256,343.9271779,751.935766,1297.777468,934.0578485,504.2211103,213.0279293,384.1291898,406.42,423.38165
247.2515,0,0.592105,Platnium ,25,2680332.075,186163692,0.014397717,240,230,201,328.6,257.6,276,307,256,382.2157461,840.827915,1344.956801,1017.396567,509.0666793,214.9097329,443.9103657,355.42,371.20422
257.6288,0,0.679825,Platnium ,25,2669060.342,186163692,0.014337169,240,230,201,328.6,257.6,276,307,256,417.4266676,921.229983,1385.896591,1090.87442,514.5800898,218.3142378,443.9103657,297.43,315.32922
268.7149,0,0.789474,Platnium ,25,2655672.697,186163692,0.014265256,240,230,201,328.6,257.6,276,307,256,460.0425393,1016.272477,1433.401252,1176.549459,522.9648826,221.3289897,473.4928032,296.11,296.90274
276.5145,0,0.881579,Platnium ,25,2644972.168,186163692,0.014207777,240,230,201,328.6,257.6,276,307,256,494.8338937,1093.330612,1471.037444,1244.299549,531.5602485,219.8666627,494.4470298,410.48,423.38165
285.9224,0,0.97807,Platnium ,25,2634240.623,186163692,0.014150131,240,230,201,328.6,257.6,276,307,256,530.4395083,1170.603882,1508.790953,1311.905274,542.4148468,221.4509034,553.6119049,363.11,371.20422
284.1359,0,1.074561,Platnium ,25,2623950.528,186163692,0.014094857,240,230,201,328.6,257.6,276,307,256,565.287858,1245.703038,1545.175186,1376.597271,555.5545837,227.0982434,564.0890182,314.19,315.32922
291.8502,0,1.162281,Platnium ,25,2614942.666,186163692,0.01404647,240,230,201,328.6,257.6,276,307,256,596.3818212,1312.479111,1577.268973,1433.22827,565.1409088,231.1074432,567.1705221,304.08,296.90274
291.9236,0,1.27193,Platnium ,25,2604103.433,186163692,0.013988246,240,230,201,328.6,257.6,276,307,256,634.5419928,1393.306667,1616.274924,1501.473522,575.0075759,239.8274009,592.4388542,427.91,423.38165
297.5287,0,1.377193,Platnium ,25,2594096.317,186163692,0.013934491,240,230,201,328.6,257.6,276,307,256,670.5055573,1468.581209,1652.722652,1564.651331,585.5536796,240.6891534,610.9278777,353.5,371.20422
300.5008,0,1.473684,Platnium ,25,2585234.627,186163692,0.01388689,240,230,201,328.6,257.6,276,307,256,702.9456653,1535.900944,1685.384143,1620.781116,596.2462324,254.4005845,609.0789753,321.8,315.32922
304.3283,0,1.561404,Platnium ,25,2577415.893,186163692,0.01384489,240,230,201,328.6,257.6,276,307,256,732.0324398,1596.403511,1714.521132,1670.472828,606.903967,258.9014314,406.42,307.73,296.90274
313.2247,0,1.653509,Platnium ,25,2569431.507,186163692,0.013802001,240,230,201,328.6,257.6,276,307,256,762.1856973,1658.318422,1744.597179,1721.397471,619.1476549,249.2839006,355.42,430.3,419.04202
316.7273,0,1.767544,Platnium ,25,2559841.515,186163692,0.013750487,240,230,201,328.6,257.6,276,307,256,799.0036265,1734.094868,1781.164002,1782.822347,635.9554882,238.5543078,297.43,351.92,362.63245
320.3297,0,1.864035,Platnium ,25,2551963.215,186163692,0.013708168,240,230,201,328.6,257.6,276,307,256,829.739648,1796.564992,1811.573295,1833.507782,651.7537276,233.445393,296.11,307.21,320.72037
324.0504,0,1.960526,Platnium ,25,2544285.842,186163692,0.013666928,240,230,201,328.6,257.6,276,307,256,860.115055,1858.732505,1841.532043,1883.102999,669.1523235,258.0699223,430.3,305.4,297.90167
319.7685575,0,1.949738,Platnium ,41.6,2545134.644,186163692,0.013671488,240,230,201,328.6,257.6,276,307,256,856.7363008,1851.507827,1838.203969,1877.609803,667.1227156,247.740171,351.92,452.8,419.04202
312.6170582,0,1.757039,Platnium ,41.6,2560711.963,186163692,0.013755163,240,230,201,328.6,257.6,276,307,256,795.6347653,1726.93235,1777.824727,1777.234877,634.325751,239.7399512,307.21,367.68,362.63245
305.7688997,0,1.559871,Platnium ,41.6,2577550.691,186163692,0.013845614,240,230,201,328.6,257.6,276,307,256,731.5272771,1595.327505,1714.016187,1669.614687,606.7095722,233.8101344,305.4,333.41,320.72037
296.5931561,0,1.273095,Platnium ,41.6,2603990.617,186163692,0.01398764,240,230,201,328.6,257.6,276,307,256,634.9434909,1394.178191,1616.683383,1502.184714,575.1183242,258.0699223,452.8,311.96,297.90167
290.4038653,0,1.062553,Platnium ,41.6,2625208.566,186163692,0.014101614,240,230,201,328.6,257.6,276,307,256,560.9893269,1236.481061,1540.712859,1368.690272,557.0596375,247.740171,367.68,410.32,419.04202
261.8662746,0,0.766808,Platnium ,41.6,2658379.869,186163692,0.014279798,240,230,201,328.6,257.6,276,307,256,451.3469179,997.3035764,1423.850776,1159.324456,521.079303,239.7399512,333.41,356.29,362.63245
243.149181,0,0.57886,Platnium ,41.6,2682080.238,186163692,0.014407107,240,230,201,328.6,257.6,276,307,256,376.7995146,828.1940986,1338.478272,1005.843225,508.3143113,233.8101344,311.96,305.63,320.72037
236.3387719,0,0.484831,Platnium ,41.6,2694853.046,186163692,0.014475718,240,230,201,328.6,257.6,276,307,256,337.4693247,736.7684482,1289.445667,919.5845513,503.5044545,258.1222779,438.49,302.59,297.90167
230.1148497,0,0.377428,Platnium ,41.6,2710200.839,186163692,0.01455816,240,230,201,328.6,257.6,276,307,256,290.2207794,624.6407397,1223.477789,809.1061902,499.0017678,249.3271655,354.14,413.47,419.3167
226.1386696,0,0.292399,Platnium ,41.6,2722752.988,186163692,0.014625585,240,230,201,328.6,257.6,276,307,256,250.3614211,527.6748011,1156.544427,707.6713747,496.057477,237.9546282,330.61,372.15,371.44476
222.2187983,0,0.189165,Platnium ,41.6,2737368.374,186163692,0.014704094,240,230,201,328.6,257.6,276,307,256,197.2900039,395.8063636,1029.823908,553.4782779,493.0889881,233.9469751,309.98,322.3,312.73477
219.4830254,0,0.099903,Platnium ,41.6,2744224.916,186163692,0.014740924,240,230,201,328.6,257.6,276,307,256,143.1844005,261.1279135,760.5600842,350.5901069,490.9685547,259.2662833,439,310.77,298.29077
218.189414,0,0.050623,Platnium ,41.6,2733534.976,186163692,0.014683502,240,230,201,328.6,257.6,276,307,256,104.7306348,170.2291874,221.4426617,135.0501732,489.9488614,247.4186942,372.02,438.49,419.3167
217.234043,0,0.010421,Platnium ,41.6,2643575.365,186163692,0.014200274,240,230,201,328.6,257.6,276,307,256,51.8218609,67.40698539,-4161.533645,-550.9934364,489.1876313,239.051241,340,354.14,371.44476
319.8458801,0,1.951754,Platnium ,41.6,2544975.845,186163692,0.013670635,240,230,201,328.6,257.6,276,307,256,857.3680291,1852.751499,1838.826302,1878.637308,667.5003355,233.4071368,316.2,330.61,312.73477
305.6731383,0,1.557018,Platnium ,41.6,2577801.728,186163692,0.013846963,240,230,201,328.6,257.6,276,307,256,730.5868473,1593.324195,1713.076064,1668.016691,606.348585,257.6086597,427.01,309.98,298.29077
290.4956801,0,1.065789,Platnium ,41.6,2624868.93,186163692,0.01409979,240,230,201,328.6,257.6,276,307,256,562.1487586,1238.96959,1541.91713,1370.824948,554.2536398,248.3790935,354.03,432.98,419.3167
243.5099327,0,0.583333,Platnium ,41.6,2681488.473,186163692,0.014403928,240,230,201,328.6,257.6,276,307,256,378.6317857,832.4101173,1340.676141,1009.7597,508.5661919,238.5111292,313.51,350.04,371.44476
264.1386319,0,0.785088,Platnium ,41.6,2656194.192,186163692,0.014268057,240,230,201,328.6,257.6,276,307,256,458.3642304,1012.907129,1431.562933,1173.234518,522.5933789,233.4036218,297.52,316.52,312.73477
226.5784238,0,0.302632,Platnium ,41.6,2721237.844,186163692,0.014617447,240,230,201,328.6,257.6,276,307,256,255.3052749,539.8572868,1165.703578,720.7780501,496.3861413,264.4983505,335.17,311.84,298.29077
310.7128,0,1.950083639,Platnium ,16.67,2545107.412,186163692,0.013671342,240,230,201,328.6,257.6,276,307,256,856.84462,1851.886976,1838.31068,1877.785998,667.1874037,273.8535391,363.35,439,425.27246
308.0858,0,1.851476051,Platnium ,16.67,2552976.958,186163692,0.013713614,240,230,201,328.6,257.6,276,307,256,825.7599797,1788.453814,1807.641509,1826.974161,649.6101699,286.2104318,413.33,372.02,360.85254
299.3292,0,1.752978411,Platnium ,16.67,2561049.114,186163692,0.013756974,240,230,201,328.6,257.6,276,307,256,794.3313534,1724.963286,1776.532419,1775.071346,633.7003681,301.9530389,474.23,340,317.54852
300.2049,0,1.658792301,Platnium ,16.67,2568980.161,186163692,0.013799577,240,230,201,328.6,257.6,276,307,256,763.9038066,1662.041401,1746.307249,1724.281902,619.8847593,226.2045555,277.29,316.2,296.80133
294.0753,0,1.56024754,Platnium ,16.67,2577517.575,186163692,0.013845436,240,230,201,328.6,257.6,276,307,256,731.6513669,1595.591825,1714.140226,1669.825499,606.7572924,226.1987837,271.17,403.4,425.27246
294.0753,0,1.457108526,Platnium ,16.67,2586736.863,186163692,0.013894959,240,230,201,328.6,257.6,276,307,256,697.407066,1524.438479,1679.820754,1611.252396,594.3352773,227.3380252,274.01,354.98,360.85254
287.9457,0,1.372016681,Platnium ,16.67,2594579.875,186163692,0.013937089,240,230,201,328.6,257.6,276,307,256,668.7514515,1464.8023,1650.951091,1561.593786,585.0087117,226.7546347,274.68,288.12,317.54852
285.3187,0,1.277893398,Platnium ,16.67,2603526.454,186163692,0.013985146,240,230,201,328.6,257.6,276,307,256,636.5963367,1397.765353,1618.364493,1505.111035,575.5758366,230.3932472,322.77,289.93,296.80133
286.1944,0,1.161285763,Platnium ,16.67,2615043.127,186163692,0.014047009,240,230,201,328.6,257.6,276,307,256,596.0319673,1311.344386,1576.909545,1432.596402,565.0562156,232.312478,286.24,413.27,425.27246
279.1891,0,1.067241014,Platnium ,16.67,2624716.68,186163692,0.014098972,240,230,201,328.6,257.6,276,307,256,562.6687545,1240.571813,1542.457077,1371.781867,554.4674253,231.5675304,299.18,357.87,360.85254
265.1786,0,0.968837615,Platnium ,16.67,2635247.605,186163692,0.01415554,240,230,201,328.6,257.6,276,307,256,527.0669628,1163.639861,1505.242448,1305.57017,541.2842609,240.2922712,333.79,308.37,317.54852
260.8004,0,0.865777136,Platnium ,16.67,2646774.968,186163692,0.014217461,240,230,201,328.6,257.6,276,307,256,488.9238538,1080.47406,1464.702209,1232.915392,529.9720229,227.4080331,260.89,299.78,296.80133
250.2925,0,0.780763824,Platnium ,16.67,2656709.438,186163692,0.014270825,240,230,201,328.6,257.6,276,307,256,456.7075541,1008.863063,1429.74601,1169.957843,522.2302568,240.4336802,314.63,427.01,416.61716
245.0385,0,0.677719052,Platnium ,16.67,2669324.889,186163692,0.01433859,240,230,201,328.6,257.6,276,307,256,416.5938422,919.2944399,1384.948587,1089.166744,514.4361987,248.3591301,373.42,354.03,366.17654
